COVID_19_Inpatient_Admissions,Date,hospital_name
12,6/22/2020,H01
0,4/20/2020,H01
1,4/30/2020,H01
5,4/25/2020,H01
1,5/1/2020,H01
0,4/26/2020,H01
0,4/30/2020,H02
2,4/18/2020,H01
3,5/4/2020,H03
2,5/5/2020,H03
8,5/6/2020,H03
2,4/22/2020,H01
2,4/23/2020,H01
3,4/24/2020,H01
2,4/27/2020,H01
2,3/27/2020,H01
4,3/28/2020,H01
2,3/29/2020,H01
1,3/30/2020,H01
3,3/31/2020,H01
1,4/1/2020,H01
2,4/2/2020,H01
2,4/3/2020,H01
3,4/4/2020,H01
1,4/5/2020,H01
0,4/6/2020,H01
2,4/7/2020,H01
1,4/8/2020,H01
0,4/9/2020,H01
2,4/10/2020,H01
1,4/11/2020,H01
2,4/12/2020,H01
2,4/13/2020,H01
3,4/14/2020,H01
2,4/15/2020,H01
1,4/16/2020,H01
2,4/17/2020,H01
0,3/27/2020,H04
0,3/28/2020,H04
1,3/29/2020,H04
0,3/30/2020,H04
0,3/31/2020,H04
0,4/1/2020,H04
0,4/2/2020,H04
0,4/3/2020,H04
0,4/4/2020,H04
0,4/5/2020,H04
0,4/6/2020,H04
0,4/7/2020,H04
0,4/8/2020,H04
0,4/9/2020,H04
0,4/10/2020,H04
0,4/11/2020,H04
0,4/12/2020,H04
1,4/13/2020,H04
0,4/14/2020,H04
0,4/15/2020,H04
0,4/16/2020,H04
0,4/17/2020,H04
0,4/18/2020,H04
0,4/19/2020,H04
0,4/20/2020,H04
0,4/21/2020,H04
0,4/22/2020,H04
0,4/23/2020,H04
0,4/24/2020,H04
0,4/25/2020,H04
0,4/26/2020,H04
0,4/27/2020,H04
0,4/28/2020,H04
0,4/29/2020,H04
,3/27/2020,H05
,3/28/2020,H05
,3/29/2020,H05
,3/30/2020,H05
,3/31/2020,H05
,4/1/2020,H05
,4/2/2020,H05
,4/3/2020,H05
,4/4/2020,H05
,4/5/2020,H05
0,4/6/2020,H05
0,4/7/2020,H05
0,4/8/2020,H05
0,4/9/2020,H05
0,4/10/2020,H05
1,4/11/2020,H05
0,4/12/2020,H05
1,4/13/2020,H05
1,4/14/2020,H05
1,4/15/2020,H05
0,4/16/2020,H05
0,4/17/2020,H05
3,4/18/2020,H05
27,4/19/2020,H05
4,4/20/2020,H05
0,4/21/2020,H05
4,4/22/2020,H05
0,4/23/2020,H05
1,4/24/2020,H05
1,4/25/2020,H05
1,4/26/2020,H05
0,4/27/2020,H05
0,4/28/2020,H05
12,4/29/2020,H05
,3/27/2020,H06
,3/28/2020,H06
,3/29/2020,H06
,3/30/2020,H06
,3/31/2020,H06
,4/1/2020,H06
,4/2/2020,H06
1,4/3/2020,H06
,4/4/2020,H06
,4/5/2020,H06
,4/6/2020,H06
,4/7/2020,H06
,4/8/2020,H06
,4/9/2020,H06
,4/10/2020,H06
,4/11/2020,H06
,4/12/2020,H06
1,4/13/2020,H06
1,4/14/2020,H06
,4/15/2020,H06
,4/16/2020,H06
1,4/17/2020,H06
,4/18/2020,H06
,4/19/2020,H06
,4/20/2020,H06
,4/21/2020,H06
,4/22/2020,H06
,4/23/2020,H06
,4/24/2020,H06
,4/25/2020,H06
,4/26/2020,H06
,4/27/2020,H06
,4/28/2020,H06
,4/29/2020,H06
1,3/27/2020,H07
,3/28/2020,H07
,3/29/2020,H07
1,3/30/2020,H07
1,3/31/2020,H07
,4/1/2020,H07
2,4/2/2020,H07
1,4/3/2020,H07
,4/4/2020,H07
,4/5/2020,H07
2,4/6/2020,H07
1,4/7/2020,H07
,4/8/2020,H07
2,4/9/2020,H07
,4/10/2020,H07
,4/11/2020,H07
,4/12/2020,H07
,4/13/2020,H07
,4/14/2020,H07
,4/15/2020,H07
,4/16/2020,H07
,4/17/2020,H07
,4/18/2020,H07
,4/19/2020,H07
,4/20/2020,H07
,4/21/2020,H07
,4/22/2020,H07
,4/23/2020,H07
,4/24/2020,H07
,4/25/2020,H07
,4/26/2020,H07
1,4/27/2020,H07
4,4/28/2020,H07
,4/29/2020,H07
,3/27/2020,H08
,3/28/2020,H08
,3/29/2020,H08
1,3/30/2020,H08
,3/31/2020,H08
,4/1/2020,H08
,4/2/2020,H08
,4/3/2020,H08
,4/4/2020,H08
,4/5/2020,H08
1,4/6/2020,H08
,4/7/2020,H08
,4/8/2020,H08
,4/9/2020,H08
1,4/10/2020,H08
1,4/11/2020,H08
2,4/12/2020,H08
,4/13/2020,H08
3,4/14/2020,H08
4,4/15/2020,H08
14,4/16/2020,H08
1,4/17/2020,H08
,4/18/2020,H08
1,4/19/2020,H08
2,4/20/2020,H08
1,4/21/2020,H08
2,4/22/2020,H08
,4/23/2020,H08
,4/24/2020,H08
,4/25/2020,H08
,4/26/2020,H08
,4/27/2020,H08
1,4/28/2020,H08
,4/29/2020,H08
1,3/27/2020,H09
,3/28/2020,H09
1,3/29/2020,H09
,3/30/2020,H09
,3/31/2020,H09
,4/1/2020,H09
,4/2/2020,H09
,4/3/2020,H09
,4/4/2020,H09
,4/5/2020,H09
,4/6/2020,H09
1,4/7/2020,H09
1,4/8/2020,H09
,4/9/2020,H09
,4/10/2020,H09
1,4/11/2020,H09
,4/12/2020,H09
,4/13/2020,H09
,4/14/2020,H09
,4/15/2020,H09
,4/16/2020,H09
1,4/17/2020,H09
1,4/18/2020,H09
,4/19/2020,H09
,4/20/2020,H09
,4/21/2020,H09
,4/22/2020,H09
,4/23/2020,H09
1,4/24/2020,H09
,4/25/2020,H09
,4/26/2020,H09
1,4/27/2020,H09
,4/28/2020,H09
,4/29/2020,H09
,3/27/2020,H10
,3/28/2020,H10
,3/29/2020,H10
,3/30/2020,H10
,3/31/2020,H10
,4/1/2020,H10
,4/2/2020,H10
,4/3/2020,H10
,4/4/2020,H10
,4/5/2020,H10
,4/6/2020,H10
,4/7/2020,H10
1,4/8/2020,H10
,4/9/2020,H10
,4/10/2020,H10
,4/11/2020,H10
,4/12/2020,H10
,4/13/2020,H10
,4/14/2020,H10
,4/15/2020,H10
,4/16/2020,H10
,4/17/2020,H10
,4/18/2020,H10
1,4/19/2020,H10
,4/20/2020,H10
,4/21/2020,H10
,4/22/2020,H10
,4/23/2020,H10
,4/24/2020,H10
,4/25/2020,H10
,4/26/2020,H10
,4/27/2020,H10
,4/28/2020,H10
,4/29/2020,H10
0,3/27/2020,H11
0,3/28/2020,H11
0,3/29/2020,H11
0,3/30/2020,H11
0,3/31/2020,H11
,4/1/2020,H11
0,4/2/2020,H11
0,4/3/2020,H11
0,4/4/2020,H11
0,4/5/2020,H11
0,4/6/2020,H11
0,4/7/2020,H11
0,4/8/2020,H11
0,4/9/2020,H11
0,4/10/2020,H11
0,4/11/2020,H11
0,4/12/2020,H11
0,4/13/2020,H11
0,4/14/2020,H11
0,4/15/2020,H11
0,4/16/2020,H11
0,4/17/2020,H11
0,4/18/2020,H11
0,4/19/2020,H11
0,4/20/2020,H11
0,4/21/2020,H11
0,4/22/2020,H11
0,4/23/2020,H11
0,4/24/2020,H11
0,4/25/2020,H11
0,4/26/2020,H11
0,4/27/2020,H11
0,4/28/2020,H11
0,4/29/2020,H11
1,3/27/2020,H12
,3/28/2020,H12
2,3/29/2020,H12
1,3/30/2020,H12
1,3/31/2020,H12
,4/1/2020,H12
1,4/2/2020,H12
2,4/3/2020,H12
,4/4/2020,H12
,4/5/2020,H12
,4/6/2020,H12
1,4/7/2020,H12
2,4/8/2020,H12
,4/9/2020,H12
,4/10/2020,H12
,4/11/2020,H12
,4/12/2020,H12
,4/13/2020,H12
1,4/14/2020,H12
1,4/15/2020,H12
1,4/16/2020,H12
1,4/17/2020,H12
1,4/18/2020,H12
,4/19/2020,H12
,4/20/2020,H12
,4/21/2020,H12
,4/22/2020,H12
,4/23/2020,H12
,4/24/2020,H12
,4/25/2020,H12
,4/26/2020,H12
,4/27/2020,H12
1,4/28/2020,H12
1,4/29/2020,H12
0,3/27/2020,H13
0,3/28/2020,H13
0,3/29/2020,H13
1,3/30/2020,H13
1,3/31/2020,H13
0,4/1/2020,H13
1,4/2/2020,H13
1,4/3/2020,H13
0,4/4/2020,H13
0,4/5/2020,H13
0,4/6/2020,H13
1,4/7/2020,H13
0,4/8/2020,H13
0,4/9/2020,H13
1,4/10/2020,H13
0,4/11/2020,H13
2,4/12/2020,H13
0,4/13/2020,H13
0,4/14/2020,H13
1,4/15/2020,H13
0,4/16/2020,H13
1,4/17/2020,H13
0,4/18/2020,H13
1,4/19/2020,H13
0,4/20/2020,H13
0,4/21/2020,H13
1,4/22/2020,H13
0,4/23/2020,H13
0,4/24/2020,H13
0,4/25/2020,H13
0,4/26/2020,H13
0,4/27/2020,H13
0,4/28/2020,H13
0,4/29/2020,H13
,3/27/2020,H14
,3/28/2020,H14
,3/29/2020,H14
1,3/30/2020,H14
,3/31/2020,H14
,4/1/2020,H14
,4/2/2020,H14
1,4/3/2020,H14
1,4/4/2020,H14
1,4/5/2020,H14
2,4/6/2020,H14
,4/7/2020,H14
1,4/8/2020,H14
2,4/9/2020,H14
4,4/10/2020,H14
1,4/11/2020,H14
,4/12/2020,H14
1,4/13/2020,H14
1,4/14/2020,H14
2,4/15/2020,H14
2,4/16/2020,H14
1,4/17/2020,H14
3,4/18/2020,H14
1,4/19/2020,H14
2,4/20/2020,H14
1,4/21/2020,H14
1,4/22/2020,H14
4,4/23/2020,H14
,4/24/2020,H14
1,4/25/2020,H14
2,4/26/2020,H14
2,4/27/2020,H14
1,4/28/2020,H14
3,4/29/2020,H14
,3/27/2020,H15
,3/28/2020,H15
1,3/29/2020,H15
,3/30/2020,H15
,3/31/2020,H15
,4/1/2020,H15
,4/2/2020,H15
,4/3/2020,H15
,4/4/2020,H15
,4/5/2020,H15
,4/6/2020,H15
,4/7/2020,H15
,4/8/2020,H15
,4/9/2020,H15
,4/10/2020,H15
,4/11/2020,H15
,4/12/2020,H15
,4/13/2020,H15
,4/14/2020,H15
,4/15/2020,H15
,4/16/2020,H15
,4/17/2020,H15
3,4/18/2020,H15
4,4/19/2020,H15
,4/20/2020,H15
,4/21/2020,H15
,4/22/2020,H15
,4/23/2020,H15
,4/24/2020,H15
,4/25/2020,H15
,4/26/2020,H15
,4/27/2020,H15
,4/28/2020,H15
1,4/29/2020,H15
0,3/27/2020,H16
0,3/28/2020,H16
0,3/29/2020,H16
0,3/30/2020,H16
0,3/31/2020,H16
1,4/1/2020,H16
0,4/2/2020,H16
0,4/3/2020,H16
0,4/4/2020,H16
0,4/5/2020,H16
0,4/6/2020,H16
0,4/7/2020,H16
1,4/8/2020,H16
0,4/9/2020,H16
1,4/10/2020,H16
0,4/11/2020,H16
0,4/12/2020,H16
0,4/13/2020,H16
1,4/14/2020,H16
1,4/15/2020,H16
0,4/16/2020,H16
0,4/17/2020,H16
0,4/18/2020,H16
1,4/19/2020,H16
0,4/20/2020,H16
0,4/21/2020,H16
1,4/22/2020,H16
1,4/23/2020,H16
0,4/24/2020,H16
1,4/25/2020,H16
0,4/26/2020,H16
0,4/27/2020,H16
0,4/28/2020,H16
0,4/29/2020,H16
,3/27/2020,H17
,3/28/2020,H17
,3/29/2020,H17
,3/30/2020,H17
,3/31/2020,H17
,4/1/2020,H17
,4/2/2020,H17
1,4/3/2020,H17
1,4/4/2020,H17
1,4/5/2020,H17
,4/6/2020,H17
,4/7/2020,H17
,4/8/2020,H17
1,4/9/2020,H17
1,4/10/2020,H17
,4/11/2020,H17
,4/12/2020,H17
,4/13/2020,H17
,4/14/2020,H17
,4/15/2020,H17
,4/16/2020,H17
,4/17/2020,H17
1,4/18/2020,H17
,4/19/2020,H17
,4/20/2020,H17
,4/21/2020,H17
,4/22/2020,H17
,4/23/2020,H17
,4/24/2020,H17
,4/25/2020,H17
,4/26/2020,H17
,4/27/2020,H17
,4/28/2020,H17
,4/29/2020,H17
0,3/27/2020,H18
0,3/28/2020,H18
0,3/29/2020,H18
0,3/30/2020,H18
0,3/31/2020,H18
,4/1/2020,H18
0,4/2/2020,H18
0,4/3/2020,H18
0,4/4/2020,H18
0,4/5/2020,H18
0,4/6/2020,H18
0,4/7/2020,H18
0,4/8/2020,H18
0,4/9/2020,H18
0,4/10/2020,H18
0,4/11/2020,H18
0,4/12/2020,H18
0,4/13/2020,H18
0,4/14/2020,H18
0,4/15/2020,H18
0,4/16/2020,H18
0,4/17/2020,H18
0,4/18/2020,H18
0,4/19/2020,H18
0,4/20/2020,H18
0,4/21/2020,H18
0,4/22/2020,H18
0,4/23/2020,H18
0,4/24/2020,H18
0,4/25/2020,H18
0,4/26/2020,H18
0,4/27/2020,H18
0,4/28/2020,H18
0,4/29/2020,H18
0,3/27/2020,H19
1,3/28/2020,H19
0,3/29/2020,H19
1,3/30/2020,H19
0,3/31/2020,H19
0,4/1/2020,H19
0,4/2/2020,H19
0,4/3/2020,H19
0,4/4/2020,H19
0,4/5/2020,H19
1,4/6/2020,H19
0,4/7/2020,H19
1,4/8/2020,H19
0,4/9/2020,H19
0,4/10/2020,H19
1,4/11/2020,H19
0,4/12/2020,H19
1,4/13/2020,H19
1,4/14/2020,H19
1,4/15/2020,H19
2,4/16/2020,H19
1,4/17/2020,H19
0,4/18/2020,H19
0,4/19/2020,H19
0,4/20/2020,H19
1,4/21/2020,H19
0,4/22/2020,H19
1,4/23/2020,H19
1,4/24/2020,H19
0,4/25/2020,H19
0,4/26/2020,H19
0,4/27/2020,H19
3,4/28/2020,H19
1,4/29/2020,H19
,3/27/2020,H20
,3/28/2020,H20
,3/29/2020,H20
1,3/30/2020,H20
,3/31/2020,H20
,4/1/2020,H20
,4/2/2020,H20
,4/3/2020,H20
1,4/4/2020,H20
2,4/5/2020,H20
,4/6/2020,H20
1,4/7/2020,H20
,4/8/2020,H20
,4/9/2020,H20
,4/10/2020,H20
,4/11/2020,H20
,4/12/2020,H20
,4/13/2020,H20
1,4/14/2020,H20
,4/15/2020,H20
1,4/16/2020,H20
1,4/17/2020,H20
8,4/18/2020,H20
1,4/19/2020,H20
,4/20/2020,H20
1,4/21/2020,H20
1,4/22/2020,H20
1,4/23/2020,H20
,4/24/2020,H20
,4/25/2020,H20
,4/26/2020,H20
,4/27/2020,H20
1,4/28/2020,H20
1,4/29/2020,H20
0,3/27/2020,H21
0,3/28/2020,H21
0,3/29/2020,H21
0,3/30/2020,H21
0,3/31/2020,H21
0,4/1/2020,H21
0,4/2/2020,H21
0,4/3/2020,H21
0,4/4/2020,H21
0,4/5/2020,H21
0,4/6/2020,H21
0,4/7/2020,H21
0,4/8/2020,H21
0,4/9/2020,H21
0,4/10/2020,H21
0,4/11/2020,H21
0,4/12/2020,H21
0,4/13/2020,H21
0,4/14/2020,H21
0,4/15/2020,H21
0,4/16/2020,H21
0,4/17/2020,H21
0,4/18/2020,H21
0,4/19/2020,H21
0,4/20/2020,H21
0,4/21/2020,H21
0,4/22/2020,H21
0,4/23/2020,H21
0,4/24/2020,H21
0,4/25/2020,H21
0,4/26/2020,H21
0,4/27/2020,H21
0,4/28/2020,H21
0,4/29/2020,H21
0,3/27/2020,H22
0,3/28/2020,H22
0,3/29/2020,H22
0,3/30/2020,H22
0,3/31/2020,H22
0,4/1/2020,H22
1,4/2/2020,H22
0,4/3/2020,H22
0,4/4/2020,H22
0,4/5/2020,H22
1,4/6/2020,H22
24,4/7/2020,H22
21,4/8/2020,H22
27,4/9/2020,H22
2,4/10/2020,H22
3,4/11/2020,H22
2,4/12/2020,H22
1,4/13/2020,H22
3,4/14/2020,H22
2,4/15/2020,H22
4,4/16/2020,H22
6,4/17/2020,H22
1,4/18/2020,H22
3,4/19/2020,H22
2,4/20/2020,H22
1,4/21/2020,H22
3,4/22/2020,H22
3,4/23/2020,H22
2,4/24/2020,H22
4,4/25/2020,H22
6,4/26/2020,H22
2,4/27/2020,H22
2,4/28/2020,H22
1,4/29/2020,H22
0,3/27/2020,H23
0,3/28/2020,H23
0,3/29/2020,H23
0,3/30/2020,H23
0,3/31/2020,H23
,4/1/2020,H23
0,4/2/2020,H23
0,4/3/2020,H23
0,4/4/2020,H23
0,4/5/2020,H23
0,4/6/2020,H23
0,4/7/2020,H23
0,4/8/2020,H23
0,4/9/2020,H23
0,4/10/2020,H23
0,4/11/2020,H23
0,4/12/2020,H23
0,4/13/2020,H23
0,4/14/2020,H23
0,4/15/2020,H23
0,4/16/2020,H23
0,4/17/2020,H23
0,4/18/2020,H23
0,4/19/2020,H23
0,4/20/2020,H23
0,4/21/2020,H23
0,4/22/2020,H23
0,4/23/2020,H23
0,4/24/2020,H23
0,4/25/2020,H23
0,4/26/2020,H23
0,4/27/2020,H23
0,4/28/2020,H23
0,4/29/2020,H23
0,3/27/2020,H24
0,3/28/2020,H24
2,3/29/2020,H24
2,3/30/2020,H24
0,3/31/2020,H24
0,4/1/2020,H24
0,4/2/2020,H24
0,4/3/2020,H24
1,4/4/2020,H24
0,4/5/2020,H24
0,4/6/2020,H24
0,4/7/2020,H24
0,4/8/2020,H24
0,4/9/2020,H24
0,4/10/2020,H24
1,4/11/2020,H24
0,4/12/2020,H24
1,4/13/2020,H24
1,4/14/2020,H24
0,4/15/2020,H24
0,4/16/2020,H24
0,4/17/2020,H24
2,4/18/2020,H24
0,4/19/2020,H24
1,4/20/2020,H24
0,4/21/2020,H24
0,4/22/2020,H24
1,4/23/2020,H24
0,4/24/2020,H24
1,4/25/2020,H24
0,4/26/2020,H24
2,4/27/2020,H24
0,4/28/2020,H24
2,4/29/2020,H24
0,3/27/2020,H25
0,3/28/2020,H25
0,3/29/2020,H25
0,3/30/2020,H25
0,3/31/2020,H25
0,4/1/2020,H25
1,4/2/2020,H25
0,4/3/2020,H25
0,4/4/2020,H25
0,4/5/2020,H25
0,4/6/2020,H25
0,4/7/2020,H25
0,4/8/2020,H25
1,4/9/2020,H25
1,4/10/2020,H25
0,4/11/2020,H25
0,4/12/2020,H25
0,4/13/2020,H25
0,4/14/2020,H25
0,4/15/2020,H25
0,4/16/2020,H25
1,4/17/2020,H25
0,4/18/2020,H25
0,4/19/2020,H25
0,4/20/2020,H25
2,4/21/2020,H25
0,4/22/2020,H25
0,4/23/2020,H25
7,4/24/2020,H25
0,4/25/2020,H25
0,4/26/2020,H25
0,4/27/2020,H25
1,4/28/2020,H25
1,4/29/2020,H25
,3/27/2020,H26
,3/28/2020,H26
,3/29/2020,H26
,3/30/2020,H26
,3/31/2020,H26
,4/1/2020,H26
,4/2/2020,H26
,4/3/2020,H26
,4/4/2020,H26
,4/5/2020,H26
,4/6/2020,H26
,4/7/2020,H26
,4/8/2020,H26
,4/9/2020,H26
,4/10/2020,H26
,4/11/2020,H26
,4/12/2020,H26
,4/13/2020,H26
,4/14/2020,H26
,4/15/2020,H26
,4/16/2020,H26
,4/17/2020,H26
,4/18/2020,H26
,4/19/2020,H26
,4/20/2020,H26
,4/21/2020,H26
,4/22/2020,H26
,4/23/2020,H26
,4/24/2020,H26
,4/25/2020,H26
,4/26/2020,H26
,4/27/2020,H26
,4/28/2020,H26
,4/29/2020,H26
0,3/27/2020,H27
0,3/28/2020,H27
0,3/29/2020,H27
0,3/30/2020,H27
0,3/31/2020,H27
0,4/1/2020,H27
1,4/2/2020,H27
0,4/3/2020,H27
0,4/4/2020,H27
0,4/5/2020,H27
0,4/6/2020,H27
0,4/7/2020,H27
0,4/8/2020,H27
0,4/9/2020,H27
0,4/10/2020,H27
1,4/11/2020,H27
0,4/12/2020,H27
0,4/13/2020,H27
0,4/14/2020,H27
0,4/15/2020,H27
0,4/16/2020,H27
0,4/17/2020,H27
1,4/18/2020,H27
0,4/19/2020,H27
0,4/20/2020,H27
0,4/21/2020,H27
1,4/22/2020,H27
1,4/23/2020,H27
1,4/24/2020,H27
0,4/25/2020,H27
0,4/26/2020,H27
0,4/27/2020,H27
0,4/28/2020,H27
0,4/29/2020,H27
,3/27/2020,H28
,3/28/2020,H28
,3/29/2020,H28
,3/30/2020,H28
,3/31/2020,H28
,4/1/2020,H28
,4/2/2020,H28
,4/3/2020,H28
,4/4/2020,H28
,4/5/2020,H28
,4/6/2020,H28
,4/7/2020,H28
,4/8/2020,H28
,4/9/2020,H28
,4/10/2020,H28
,4/11/2020,H28
,4/12/2020,H28
,4/13/2020,H28
,4/14/2020,H28
,4/15/2020,H28
,4/16/2020,H28
,4/17/2020,H28
,4/18/2020,H28
,4/19/2020,H28
,4/20/2020,H28
,4/21/2020,H28
,4/22/2020,H28
,4/23/2020,H28
,4/24/2020,H28
,4/25/2020,H28
,4/26/2020,H28
,4/27/2020,H28
,4/28/2020,H28
,4/29/2020,H28
,3/27/2020,H29
,3/28/2020,H29
,3/29/2020,H29
,3/30/2020,H29
,3/31/2020,H29
,4/1/2020,H29
,4/2/2020,H29
,4/3/2020,H29
,4/4/2020,H29
,4/5/2020,H29
,4/6/2020,H29
,4/7/2020,H29
1,4/8/2020,H29
,4/9/2020,H29
,4/10/2020,H29
,4/11/2020,H29
,4/12/2020,H29
,4/13/2020,H29
,4/14/2020,H29
,4/15/2020,H29
,4/16/2020,H29
,4/17/2020,H29
,4/18/2020,H29
1,4/19/2020,H29
,4/20/2020,H29
,4/21/2020,H29
,4/22/2020,H29
,4/23/2020,H29
,4/24/2020,H29
,4/25/2020,H29
,4/26/2020,H29
,4/27/2020,H29
,4/28/2020,H29
,4/29/2020,H29
1,3/27/2020,H30
0,3/28/2020,H30
0,3/29/2020,H30
0,3/30/2020,H30
0,3/31/2020,H30
0,4/1/2020,H30
0,4/2/2020,H30
0,4/3/2020,H30
0,4/4/2020,H30
0,4/5/2020,H30
12,4/6/2020,H30
12,4/7/2020,H30
17,4/8/2020,H30
22,4/9/2020,H30
0,4/10/2020,H30
1,4/11/2020,H30
0,4/12/2020,H30
2,4/13/2020,H30
0,4/14/2020,H30
1,4/15/2020,H30
3,4/16/2020,H30
1,4/17/2020,H30
1,4/18/2020,H30
0,4/19/2020,H30
1,4/20/2020,H30
1,4/21/2020,H30
2,4/22/2020,H30
0,4/23/2020,H30
1,4/24/2020,H30
0,4/25/2020,H30
1,4/26/2020,H30
2,4/27/2020,H30
0,4/28/2020,H30
2,4/29/2020,H30
0,3/27/2020,H31
0,3/28/2020,H31
0,3/29/2020,H31
0,3/30/2020,H31
0,3/31/2020,H31
0,4/1/2020,H31
0,4/2/2020,H31
0,4/3/2020,H31
0,4/4/2020,H31
1,4/5/2020,H31
1,4/6/2020,H31
19,4/7/2020,H31
16,4/8/2020,H31
12,4/9/2020,H31
0,4/10/2020,H31
0,4/11/2020,H31
7,4/12/2020,H31
3,4/13/2020,H31
1,4/14/2020,H31
1,4/15/2020,H31
0,4/16/2020,H31
2,4/17/2020,H31
4,4/18/2020,H31
2,4/19/2020,H31
2,4/20/2020,H31
0,4/21/2020,H31
3,4/22/2020,H31
1,4/23/2020,H31
3,4/24/2020,H31
1,4/25/2020,H31
1,4/26/2020,H31
2,4/27/2020,H31
3,4/28/2020,H31
4,4/29/2020,H31
0,3/27/2020,H32
0,3/28/2020,H32
0,3/29/2020,H32
0,3/30/2020,H32
0,3/31/2020,H32
,4/1/2020,H32
0,4/2/2020,H32
0,4/3/2020,H32
0,4/4/2020,H32
0,4/5/2020,H32
0,4/6/2020,H32
0,4/7/2020,H32
0,4/8/2020,H32
0,4/9/2020,H32
0,4/10/2020,H32
0,4/11/2020,H32
0,4/12/2020,H32
0,4/13/2020,H32
0,4/14/2020,H32
0,4/15/2020,H32
0,4/16/2020,H32
0,4/17/2020,H32
0,4/18/2020,H32
0,4/19/2020,H32
0,4/20/2020,H32
0,4/21/2020,H32
0,4/22/2020,H32
0,4/23/2020,H32
0,4/24/2020,H32
0,4/25/2020,H32
0,4/26/2020,H32
0,4/27/2020,H32
0,4/28/2020,H32
0,4/29/2020,H32
,3/27/2020,H33
,3/28/2020,H33
,3/29/2020,H33
,3/30/2020,H33
,3/31/2020,H33
,4/1/2020,H33
,4/2/2020,H33
,4/3/2020,H33
,4/4/2020,H33
,4/5/2020,H33
,4/6/2020,H33
,4/7/2020,H33
,4/8/2020,H33
,4/9/2020,H33
,4/10/2020,H33
,4/11/2020,H33
,4/12/2020,H33
,4/13/2020,H33
,4/14/2020,H33
,4/15/2020,H33
,4/16/2020,H33
,4/17/2020,H33
,4/18/2020,H33
,4/19/2020,H33
,4/20/2020,H33
,4/21/2020,H33
,4/22/2020,H33
,4/23/2020,H33
,4/24/2020,H33
,4/25/2020,H33
,4/26/2020,H33
,4/27/2020,H33
,4/28/2020,H33
,4/29/2020,H33
0,3/27/2020,H34
0,3/28/2020,H34
0,3/29/2020,H34
0,3/30/2020,H34
0,3/31/2020,H34
,4/1/2020,H34
0,4/2/2020,H34
0,4/3/2020,H34
0,4/4/2020,H34
0,4/5/2020,H34
0,4/6/2020,H34
0,4/7/2020,H34
0,4/8/2020,H34
0,4/9/2020,H34
0,4/10/2020,H34
0,4/11/2020,H34
0,4/12/2020,H34
0,4/13/2020,H34
0,4/14/2020,H34
0,4/15/2020,H34
0,4/16/2020,H34
0,4/17/2020,H34
0,4/18/2020,H34
