,0,1,2,3,4
0,50.07477,8.05145,49.02782,52.72873,6.03859
1,50.06247,8.04947,49.01578,52.71578,6.0371
2,55.4005,8.90777,54.2422,58.33672,6.68082
3,56.93277,9.15414,55.74243,59.9502,6.8656
4,55.0352,8.84903,53.88453,57.95206,6.63677
5,55.89086,8.98661,54.7223,58.85307,6.73996
6,62.02925,9.97359,60.73235,65.31679,7.48019
7,72.41242,55.22983,70.89844,76.25027,8.73232
8,81.17368,61.91216,79.47652,85.47588,9.78885
9,83.36259,63.58166,81.61966,87.78079,45.27916
10,49.83772,8.01333,48.79572,52.47912,6.01
11,7.77198,6.21758,7.77198,7.77198,4.66319
12,8.19556,6.55645,8.19556,8.19556,4.91734
13,51.2489,8.24024,50.1774,53.96509,6.18018
14,62.87955,47.959,61.56488,66.21216,7.58273
15,69.92702,53.33419,68.465,73.63314,8.4326
16,69.35244,52.89595,67.90243,73.02811,8.36331
17,66.28973,50.55998,64.90376,69.80308,7.99397
18,67.23429,51.28041,65.82857,70.7977,8.10788
19,74.4223,56.76279,72.86629,78.36667,8.97469
20,54.1162,8.70126,52.98475,56.98436,6.52595
21,52.23296,8.39846,51.14088,55.0013,6.29885
22,51.15528,8.22518,50.08573,53.8665,6.16889
23,9.82825,7.8626,9.82825,9.82825,5.89695
24,49.96316,8.0335,48.91854,52.6112,6.02513
25,58.31815,9.37689,57.09884,61.409,7.03267
26,69.72423,53.17952,68.26645,73.4196,8.40814
27,78.30036,59.72064,76.66327,82.45027,9.44235
28,79.84124,60.89589,78.17194,84.07282,9.62817
29,76.0348,57.99267,74.44508,80.06464,9.16914
30,8.69298,6.95438,8.69298,8.69298,5.21579
31,7.81437,6.2515,7.81437,7.81437,4.68862
32,9.56506,7.65205,9.56506,9.56506,5.73904
33,58.40113,9.39023,57.18009,61.49639,7.04267
34,63.79436,48.65674,62.46056,67.17546,7.69305
35,63.76334,48.63307,62.43018,67.14279,7.68931
36,61.77712,9.93305,60.4855,65.0513,7.44979
37,64.26749,49.0176,62.9238,67.67366,7.75011
38,72.62437,55.39149,71.10595,76.47345,8.75787
39,82.26908,62.74763,80.54901,86.62933,9.92094
40,57.20539,9.19797,56.00935,60.23727,6.89848
41,9.59191,7.67353,9.59191,9.59191,5.75515
42,8.68139,6.94511,8.68139,8.68139,5.20884
43,9.00535,7.20428,9.00535,9.00535,5.40321
44,53.50002,8.60219,52.38145,56.33551,6.45164
45,66.2344,50.51778,64.84959,69.74482,7.9873
46,74.74171,57.00641,73.17903,78.70301,9.01321
47,75.80603,57.81818,74.22109,79.82374,9.14155
48,72.12836,55.01318,70.62032,75.95116,8.69806
49,70.19457,53.53825,68.72695,73.91487,8.46486
50,8.97474,7.17979,8.97474,8.97474,5.38484
51,9.29265,7.43412,9.29265,9.29265,5.57559
52,54.13685,8.70458,53.00497,57.0061,6.52844
53,58.11974,9.34499,56.90458,61.20008,7.00874
54,56.9442,9.15597,55.75362,59.96223,6.86698
55,56.64241,9.10745,55.45814,59.64445,6.83059
56,60.93238,9.79723,59.65842,64.16179,7.34792
57,70.47559,53.75259,69.0021,74.21079,8.49875
58,80.1776,61.15243,78.50126,84.42701,9.66873
59,84.22305,64.23794,82.46213,88.68686,45.74652
60,51.76362,8.323,50.68136,54.50709,6.24225
61,8.01732,6.41385,8.01732,8.01732,4.81039
62,8.07359,6.45888,8.07359,8.07359,4.84416
63,9.92316,7.93853,9.92316,9.92316,5.9539
64,61.45872,9.88186,60.17375,64.71602,7.41139
65,70.26808,53.59432,68.79893,73.99228,8.47373
66,71.14182,54.26073,69.6544,74.91233,8.57909
67,67.88229,51.77465,66.46302,71.48005,8.18602
68,67.16583,51.2282,65.76154,70.72561,8.09962
69,72.75576,55.49171,71.2346,76.61181,8.77372
70,52.3838,8.42271,51.28856,55.16013,6.31704
71,52.02744,8.36542,50.93966,54.78489,6.27406
72,52.66561,8.46803,51.56449,55.45688,6.35102
73,50.73784,8.15806,49.67703,53.42694,6.11855
74,50.43853,8.10994,49.38397,53.11176,6.08245
75,56.99425,9.16402,55.80262,60.01494,6.87302
76,67.81825,51.7258,66.40032,71.41261,8.1783
77,77.56465,59.1595,75.94294,81.67557,9.35363
78,80.95221,61.74323,79.25967,85.24267,9.76214
79,77.97103,59.46945,76.34082,82.10348,9.40264
80,8.89021,7.11217,8.89021,8.89021,5.33413
81,7.63835,6.11068,7.63835,7.63835,4.58301
82,9.17762,7.34209,9.17762,9.17762,5.50657
83,57.19383,9.19611,55.99803,60.22509,6.89708
84,64.41746,49.13198,63.07063,67.83158,7.76819
85,65.64397,50.06745,64.27149,69.12309,7.9161
86,63.18624,48.19291,61.86515,66.5351,7.61972
87,63.90956,48.7446,62.57335,67.29676,7.70694
88,70.82847,54.02173,69.3476,74.58237,8.5413
89,80.68635,61.54046,78.99938,84.96272,9.73008
90,57.29099,9.21173,56.09316,60.32741,6.9088
91,9.92861,7.94289,9.92861,9.92861,5.95717
92,9.02802,7.22242,9.02802,9.02802,5.41681
93,9.04323,7.23458,9.04323,9.04323,5.42594
94,51.979,8.35763,50.89223,54.73388,6.26822
95,64.40233,49.12044,63.05582,67.81565,7.76637
96,74.28299,56.65654,72.72989,78.21998,8.95789
97,77.14239,58.83744,75.52952,81.23093,9.30271
98,74.03118,56.46448,72.48334,77.95482,8.92752
99,70.91438,54.08726,69.43172,74.67284,8.55166
100,8.74863,6.99891,8.74863,8.74863,5.24918
101,8.90365,7.12292,8.90365,8.90365,5.34219
102,53.17035,8.54918,52.05867,55.98837,6.41189
103,59.0108,9.48826,57.77702,62.13837,7.1162
104,58.87358,9.4662,57.64267,61.99388,7.09965
105,57.83625,9.29941,56.62702,60.90157,6.97455
106,60.29307,9.69443,59.03247,63.48859,7.27083
107,68.5909,52.31511,67.15681,72.22621,8.27147
108,78.78031,60.0867,77.13319,82.95566,9.50023
109,84.59782,64.52379,82.82906,89.08149,45.95008
110,53.56589,8.61278,52.44595,56.40488,6.45959
111,8.33342,6.66674,8.33342,8.33342,5.00005
112,8.05295,6.44236,8.05295,8.05295,4.83177
113,9.58475,7.6678,9.58475,9.58475,5.75085
114,59.74195,9.60582,58.49287,62.90826,7.20436
115,70.09671,53.46361,68.63114,73.81183,8.45306
116,72.67341,55.42889,71.15397,76.52509,8.76379
117,69.7087,53.16767,68.25124,73.40325,8.40627
118,67.60787,51.56535,66.19434,71.19108,8.15293
119,71.40703,54.46301,69.91406,75.19159,8.61107
120,50.4843,8.1173,49.42879,53.15996,6.08797
121,51.32358,8.25224,50.25052,54.04372,6.18918
122,53.8045,8.65115,52.67957,56.65614,6.48836
123,52.6724,8.46912,51.57114,55.46403,6.35184
124,51.39013,8.26294,50.31567,54.1138,6.19721
125,56.08799,9.01831,54.91531,59.06065,6.76373
126,65.88735,50.25308,64.50978,69.37937,7.94545
127,76.38437,58.25928,74.78733,80.43273,9.2113
128,81.60769,62.24318,79.90145,85.93289,9.84119
129,79.85963,60.90991,78.18994,84.09218,9.63038
130,9.16865,7.33492,9.16865,9.16865,5.50119
131,7.55965,6.04772,7.55965,7.55965,4.53579
132,8.81413,7.05131,8.81413,8.81413,5.28848
133,55.63114,8.94485,54.46801,58.57958,6.70864
134,64.53731,49.22339,63.18798,67.95778,7.78264
135,67.33617,51.35811,65.92831,70.90498,8.12016
136,64.89499,49.4962,63.53818,68.33441,7.82578
137,64.06384,48.86227,62.72441,67.45922,7.72555
138,69.28644,52.84561,67.83781,72.95861,8.35535
139,78.86575,60.15186,77.21684,83.04562,9.51053
140,56.86567,9.14335,55.67673,59.87954,6.85751
141,50.76059,8.16172,49.6993,53.4509,6.12129
142,9.4091,7.52728,9.4091,9.4091,5.64546
143,9.18148,7.34518,9.18148,9.18148,5.50889
144,50.82627,8.17228,49.76361,53.52006,6.12921
145,62.46884,47.64574,61.16275,65.77968,7.5332
146,73.34637,55.94217,71.81286,77.23372,8.84494
147,78.06378,59.54019,76.43163,82.20115,9.41382
148,75.96345,57.93824,74.37522,79.9895,9.16054
149,72.08102,54.97707,70.57396,75.90131,8.69235
150,8.61365,6.89092,8.61365,8.61365,5.16819
151,8.52331,6.81865,8.52331,8.52331,5.11398
152,51.79704,8.32837,50.71408,54.54228,6.24628
153,59.41917,9.55392,58.17684,62.56838,7.16544
154,60.68817,9.75796,59.41932,63.90464,7.31847
155,59.38874,9.54903,58.14705,62.53633,7.16177
156,60.1561,9.67241,58.89837,63.34437,7.25431
157,66.89041,51.01813,65.49188,70.43559,8.06641
158,77.07972,58.78964,75.46815,81.16494,9.29515
159,84.46064,64.41916,82.69476,88.93705,45.87558
160,55.11825,8.86238,53.96585,58.03951,6.64679
161,8.69814,6.95851,8.69814,8.69814,5.21889
162,8.13507,6.50805,8.13507,8.13507,4.88104
163,9.30876,7.44701,9.30876,9.30876,5.58526
164,57.84953,9.30154,56.64003,60.91555,6.97616
165,69.42491,52.95123,67.97339,73.10443,8.37205
166,73.83988,56.31857,72.29605,77.75338,8.90445
167,71.64099,54.64145,70.14313,75.43795,8.63929
168,68.52944,52.26824,67.09664,72.16149,8.26406
169,70.47059,53.74878,68.9972,74.20552,8.49815
170,9.75802,7.80641,9.75802,9.75802,5.85481
171,50.17068,8.06687,49.12172,52.82972,6.05015
172,54.49216,8.76171,53.35285,57.38024,6.57129
173,54.56839,8.77397,53.42748,57.4605,6.58048
174,52.75128,8.4818,51.64836,55.54709,6.36135
175,55.66287,8.94995,54.49908,58.613,6.71246
176,64.06681,48.86454,62.72731,67.46234,7.72591
177,74.84221,57.08306,73.27742,78.80883,9.02533
178,81.76176,62.36069,80.0523,86.09512,9.85976
179,81.56828,62.21312,79.86286,85.89139,9.83643
180,9.50877,7.60702,9.50877,9.50877,5.70526
181,7.58378,6.06702,7.58378,7.58378,4.55027
182,8.50008,6.80006,8.50008,8.50008,5.10005
183,53.82256,8.65405,52.69725,56.67515,6.49054
184,64.14552,48.92457,62.80438,67.54523,7.7354
185,68.72137,52.41463,67.28456,72.3636,8.28721
186,66.78364,50.93669,65.38734,70.32316,8.05353
187,64.71952,49.36237,63.36638,68.14965,7.80462
188,68.10632,51.94552,66.68236,71.71594,8.21304
189,76.93482,58.67913,75.32628,81.01236,9.27768
190,55.95922,8.9976,54.78924,58.92505,6.7482
191,51.71201,8.3147,50.63082,54.45274,6.23602
192,9.79791,7.83833,9.79791,9.79791,5.87875
193,9.41041,7.52833,9.41041,9.41041,5.64625
194,50.12261,8.05914,49.07465,52.7791,6.04435
195,60.56939,9.73886,59.30301,63.77956,7.30415
196,71.99748,54.91335,70.49217,75.81334,8.68228
197,78.50561,59.87719,76.86423,82.6664,9.4671
198,77.78978,59.33121,76.16337,81.91263,9.38078
199,73.61274,56.14533,72.07365,77.5142,8.87706
200,8.57925,6.8634,8.57925,8.57925,5.14755
201,8.17828,6.54263,8.17828,8.17828,4.90697
202,50.11316,8.05762,49.0654,52.76915,6.04322
203,59.31623,9.53737,58.07606,62.45998,7.15303
204,62.26082,47.48708,60.95908,65.56064,7.50812
205,61.19109,9.83882,59.91171,64.43421,7.37912
206,60.53108,9.7327,59.26551,63.73922,7.29953
207,65.49327,49.95251,64.12394,68.9644,7.89792
208,75.19498,57.35213,73.62282,79.18031,9.06787
209,83.82113,63.93139,82.06861,88.26364,45.52822
210,56.31193,9.05431,55.13457,59.29645,6.79073
211,9.08593,7.26874,9.08593,9.08593,5.45156
212,8.31419,6.65135,8.31419,8.31419,4.98852
213,9.11454,7.29164,9.11454,9.11454,5.46873
214,55.91408,8.99034,54.74503,58.87751,6.74276
215,68.29977,52.09306,66.87177,71.91965,8.23636
216,74.5595,56.86744,73.00062,78.51114,8.99123
217,73.54376,56.09272,72.00612,77.44157,8.86874
218,69.86596,53.28762,68.40522,73.56885,8.42523
219,70.01207,53.39906,68.54827,73.7227,8.44285
220,9.38981,7.51185,9.38981,9.38981,5.63389
221,9.77786,7.82229,9.77786,9.77786,5.86672
222,54.6804,8.79198,53.53715,57.57846,6.59399
223,56.29295,9.05126,55.11598,59.27647,6.78845
224,54.42661,8.75117,53.28866,57.31121,6.56338
225,55.74868,8.96375,54.5831,58.70336,6.72281
226,62.48421,47.65746,61.1778,65.79586,7.53506
227,73.04623,55.71325,71.51899,76.91767,8.80875
228,81.40362,62.08753,79.70165,85.718,9.81658
229,82.97725,63.28776,81.24238,87.37504,45.06986
230,9.88676,7.90941,9.88676,9.88676,5.93206
231,7.70905,6.16724,7.70905,7.70905,4.62543
232,8.25746,6.60597,8.25746,8.25746,4.95448
233,51.89482,8.34409,50.80982,54.64524,6.25807
234,63.26954,48.25644,61.94671,66.62281,7.62976
235,69.70252,53.16296,68.24519,73.39674,8.40552
236,68.71985,52.41347,67.28307,72.362,8.28702
237,65.83066,50.20985,64.45429,69.31968,7.93861
238,67.3708,51.38453,65.96222,70.94144,8.12434
239,75.02888,57.22544,73.46019,79.00541,9.04784
